"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.76677636366576,0.411707210139712,6.72025239180742,1.81410058389124e-11
"targetsue",-3.96380210900247,0.467540885120363,-8.47797964873605,2.29138035351937e-17
"targetto",0.160809353174685,0.559309588667357,0.287514028782947,0.773718761781073
"targetdo",-1.87285616241526,0.450259819039361,-4.15950098858708,3.1894364060303e-05
"targetjus",-1.52550549815238,0.456970924819076,-3.33829881793105,0.000842930461866909
"targetshoe",-1.54411568668172,0.457407265983281,-3.37580052070743,0.00073601261989881
"targetloo",-0.796703952255958,0.483905154685396,-1.64640517783681,0.0996803677760984
"targetrue",-0.9661874295699,0.47580136264873,-2.03065292665672,0.0422902146942706
"conditionUnmasked",0.343702386095776,0.580692811170564,0.591883315040422,0.553928727358375
"targetsue:conditionUnmasked",2.35557537111661,0.686494245639073,3.43131116696214,0.000600671161037638
"targetto:conditionUnmasked",1.07649946168736,1.01529414194862,1.06028333781309,0.28901571718821
"targetdo:conditionUnmasked",3.847481522292,1.19129461560983,3.22966415853602,0.00123935708529408
"targetjus:conditionUnmasked",0.476620093525819,0.699481494913991,0.681390568573118,0.495624389052632
"targetshoe:conditionUnmasked",3.51874679174795,1.19394300000608,2.94716480747409,0.00320702229794806
"targetloo:conditionUnmasked",0.796698628060897,0.783901011109446,1.01632555229561,0.309474384495897
"targetrue:conditionUnmasked",1.17906687368426,0.800927531809649,1.47212678657734,0.140986643260595
